,name,desc,cr,immunities,resists,conditions,wins,actions,hp,str,dex,con,int,wis,cha,ac,spd
0,Barbarian,Medium Humanoid Chaotic Evil,1/4,,,"Reliable Damage,Hill Dwarf,Rage,Level 1",,"Maul: +4, 11 Bludgeoning, 7 Bludgeoning (If Crit)	Blowgun: +3, 25ft, 2 Piercing",16,14,12,17,7,6,16,14,25
1,Drow,Medium Humanoid Neutral Evil,1/4,Asleep,Charmed,Badly Drawn,Violet Fungus,"Shortsword: +4, 1d6+2 Piercing	Hand Crossbow: +4, 30ft, 1d6+2 Piercing, Poisoned (CON Save)	Faerie Fire: 60ft, Faerie Fire (WIS Save)",10,10,14,10,11,11,12,15,30
2,Dretch,Small Fiend Chaotic Evil,1/4,"Poison,Poisoned","Cold,Fire,Lightning","Vorpal Blade,Fetid Cloud",Ice Mephit,"Bite: +2, 1d6 Piercing	Claws: +2, 2d4 Slashing	Multiattack: Bite, Claws	Fetid Cloud: Fetid Cloud",25,11,11,12,5,8,3,11,20
3,Barbarian,Medium Humanoid Chaotic Evil,1/4,,,"Reliable Damage,Hill Dwarf,Rage",Panther,"Maul: +4, 11 Bludgeoning, 7 Bludgeoning (If Crit)	Blowgun: +3, 25ft, 2 Piercing",16,14,12,17,7,6,16,14,30
4,Lizardfolk,Medium Humanoid Neutral,1/2,,,"Mirrored,Mirror Image",,"Bite: +4, 1d6+2 Piercing	Heavy Club: +4, 1d6+2 Bludgeoning	Spiked Shield: +4, 1d6+2 Piercing	Javelin: +4, 30ft, 1d6+2 Piercing	Multiattack: 2x (Heavy Club, Spiked Shield, Bite)",21,15,10,13,7,12,7,15,30
5,Giant Goat,Large Beast Unaligned,1/2,,Prone,Backstabber,,"Ram: +5, 2d4+3 Bludgeoning, Sneak Attack	Charge: +5, 4d4+3 Bludgeoning, Prone (STR Save), Sneak Attack",30,17,11,12,3,12,6,11,40
6,Hell Hound,Medium Fiend Lawful Evil,3,Fire,,Projectile Catching,,"Bite: +4, 1d8+3 Piercing, 2d6 Fire	Fire Breath: 15ft, 6d6 Fire (DEX Save)",31,17,12,14,6,13,6,15,50
7,Nightmare,Large Fiend Neutral Evil,3,Fire,,Evasive,,"Hooves: +5, 2d8+4 Bludgeoning, 2d6 Fire",40,18,15,16,10,13,15,13,90
8,Elephant,Huge Beast Unaligned,4,,,Death Defying,,"Gore: +7, 3d8+6 Piercing	Stomp: +7, 3d10+6 Bludgeoning	Trampling Charge: +7, 3d8+6 Piercing, Prone (STR Save), Stomp (If Prone)",47,22,9,17,3,11,6,12,40
9,Triceratops,Huge Beast Unaligned,5,,,Always Reckless,,"Gore: +8, 4d8+6 Piercing	Stomp: +8, 3d10+6 Bludgeoning	Trampling Charge: +8, 4d8+6 Piercing, Prone (STR Save), Stomp (If Prone)",41,22,9,17,2,11,5,13,50
