,name,desc,cr,immunities,resists,conditions,wins,actions,hp,str,dex,con,int,wis,cha,ac,spd
0,Vrock,Large Fiend Chaotic Evil,6,Poisoned,"Bludgeoning,Piercing,Slashing,Cold,Fire,Lightning,Spell,MagicalAbility","Green Half-Dragon,Dead",,"Beak: +5, 2d6+3 Piercing	Talons: +5, 2d10+3 Slashing	Multiattack: Beak, Talons	Spores: 15ft, Toxic Spores (CON Save)	Stunning Screech: 20ft, Stunned (CON Save) (If Toxic Spores)	Poison Breath: 60ft, 9d6 Poison (CON Save)",15,17,15,18,8,13,8,15,30
1,Medusa,Medium Monstrosity Lawful Evil,6,,,"Boots of Charging,Dead",,"Multiattack: Snake Hair, 2 Shortsword, Petrifying Gaze	Multishot: 150ft, 2 Longbow, Petrifying Gaze	Snake Hair: +4, 1d4+2 Piercing, 4d6 Poison	Shortsword: +4, 1d6+2 Piercing	Longbow: +4, 150ft, 1d8+2 Piercing, 2d6 Poison	Petrifying Gaze: 30ft, Petrifying (CON Save)",70,10,15,16,12,13,15,15,30
2,Shield Guardian,Large Construct Unaligned,7,"Poison,Charmed,Exhaustion,Frightened,Paralyzed,Poisoned",,"Blessed By God,Regeneration,Stored Spell,Dead",,"Fist: +6, 2d6+4 Bludgeoning	Multiattack: 2 Fist	Ice Storm: 300ft, 2d8 Bludgeoning (DEX Save), 4d6 Cold (DEX Save), Difficult Terrain",63,18,8,18,7,10,3,17,30
3,Spirit Naga,Large Monstrosity Chaotic Evil,8,"Poison,Poisoned,Charmed",,"Power Attacker,Asleep",,"Bite: +1, 10ft, 1d6+24 Piercing, 7d8 Poison (CON Save)	Blight (Level 5): 30ft, 9d8 Necrotic (CON Save, If Not  Undead,  Construct,  Plant), 72 Necrotic (CON Save, If Plant)	Ray of Frost: +0, 60ft, 2d8+20 Cold	Charm Person: 30ft, Charmed (WIS Save) (If Humanoid)	Sleep: 90ft, Asleep (WIS Save)	Hold Person: 60ft, Paralyzed (WIS Save) (If Humanoid)	Lightning Bolt: 100ft, 8d6 Lightning (DEX Save)	Blight: 30ft, 8d8 Necrotic (CON Save, If Not  Undead,  Construct,  Plant), 64 Necrotic (CON Save, If Plant)	Dimension Door: Teleport",37,18,17,14,16,15,16,15,40
4,Tyrannosaurus Rex,Huge Beast Unaligned,8,,,"Always Reckless,On Fire,Dead",,"Bite: +9, 10ft, 4d12+7 Piercing, Grappled & Restrained (If Medium)	Tail: +9, 10ft, 3d8+7 Bludgeoning",80,25,10,19,2,12,9,13,50
5,Mammoth,Huge Beast Unaligned,6,,,"True Sight,Faerie Fire,Dead",,"Gore: +9, 10ft, 4d8+7 Piercing	Stomp: +9, 4d10+7 Bludgeoning	Trampling Charge: +9, 4d8+7 Piercing, Prone (STR Save), Stomp (If Prone)",66,24,9,21,3,11,6,13,40
6,Drider,Large Monstrosity Neutral Evil,6,Asleep,Charmed,"Diseased,Dead",Mammoth,"Multiattack: Bite, 2 Longsword	Multishot: 150ft, 3 Longbow	Bite: +5, 1d4 Piercing, 2d8 Poison, The Plague (CON Save)	Longsword: +5, 1d10+3 Slashing	Longbow: +5, 150ft, 1d8+3 Piercing, 1d8 Poison	Faerie Fire: 60ft, Faerie Fire (WIS Save)",73,16,16,18,13,14,12,19,30
7,Couatl,Medium Celestial Lawful Good,4,Psychic,"Radiant,Bludgeoning,Piercing,Slashing","Crit Master,Protection from Poison,On Fire,Dead",Invisible Stalker,"Bite: +7, 1d6+5 Piercing, Asleep (CON Save)	Constrict: +5, 10ft, 2d6+3 Bludgeoning, Grappled & Restrained	Shield: +5 to AC, Reaction	Bless: Blessed	Protection from Poison: Protection from Poison	Cure Wounds: Heal 1d8+5",54,16,20,17,18,20,18,19,90
8,Young Brass Dragon,Large Dragon Chaotic Good,6,Fire,,"Reliable Damage,Dead",Spirit Naga,"Multiattack: 10ft, Bite, 2 Claw	Bite: +6, 10ft, 15 Piercing, 11 Piercing (If Crit)	Claw: +6, 11 Slashing, 7 Slashing (If Crit)	Breath Weapon: 40ft, 1x (Fire Breath, Sleep Breath)	Fire Breath: 40ft, 42 Fire (DEX Save)	Sleep Breath: 30ft, Asleep (CON Save)",1,19,10,17,12,11,15,17,80
9,Chimera,Large Monstrosity Chaotic Evil,6,,,"Projectile Catching,Dead",Mage,"Multiattack: Bite, Claws, Horns	Breath Weapon Combo: 15ft, Fire Breath, Bite, Claws	Bite: +6, 2d6+4 Piercing	Horns: +6, 1d12+4 Bludgeoning	Claws: +6, 2d6+4 Slashing	Fire Breath: 15ft, 7d8 Fire (DEX Save)",63,19,11,19,3,14,10,14,60
10,Wraith of Ogre Power,Medium Undead Neutral Evil,5,"Necrotic,Poison,Charmed,Exhaustion,Grappled,Paralyzed,Petrified,Poisoned,Prone,Restrained","Acid,Cold,Fire,Lightning,Thunder,Bludgeoning,Piercing,Slashing","Gauntlets of Ogre Power,Dead","Werebear, Air Elemental, Troll, Roper, CR 5, Vrock, Young Brass Dragon","Life Drain: +11, 4d8+9 Necrotic & Life Drain",39,19,16,16,12,14,15,13,60
11,Stone Golem,Large Construct Unaligned,10,"Poison,Psychic,Charmed,Exhaustion,Frightened,Paralyzed,Petrified,Poisoned,Polymorph","Bludgeoning,Piercing,Slashing","+2 CON,Dead",,"Slow: 10ft, Slowed (WIS Save)	Slam: +9, 3d8+6 Bludgeoning	Multiattack: 2 Slam",104,22,9,22,3,11,1,17,30
12,Oni,Large Giant Lawful Evil,7,,,"Death Defying,Regeneration,Dead","Medusa, Drider, Wraith, CR 6-7","Glaive: +6, 10ft, 2d10+4 Slashing	Multiattack: 10ft, 2 Glaive	Charm Person: 30ft, Charmed (WIS Save) (If Humanoid)	Sleep: 90ft, Asleep (WIS Save)	Cone of Cold: 60ft, 8d8 Cold (CON Save)",55,19,11,16,14,12,15,16,30
13,Young Bronze Dragon,Large Dragon Lawful Good,8,Lightning,,"Blurred,Dead",,"Multiattack: Bite, 2 Claw	Bite: +7, 10ft, 2d10+5 Piercing	Claw: +7, 2d6+5 Slashing	Breath Weapon: 60ft, 1x (2 Lightning Breath, Repulsion Breath)	Lightning Breath: 60ft, 10d10 Lightning (DEX Save)	Repulsion Breath: 35ft, ",85,21,10,19,14,13,17,18,80
14,Clay Golem,Medium Construct Unaligned,9,"Poison,Psychic,Charmed,Exhaustion,Frightened,Paralyzed,Petrified,Poisoned,Polymorph","Bludgeoning,Piercing,Slashing","Tough,Dead",,"Haste: Hasted	Slam: +7, 2d10+5 Bludgeoning & Life Drain	Multiattack: 2 Slam",89,20,9,18,3,8,1,14,20
15,Young Green Dragon,Large Dragon Lawful Evil,8,"Poison,Poisoned",,"Memorized One Spell,Dead",,"Multiattack: Bite, 2 Claw	Bite: +6, 10ft, 2d10+4 Piercing, 2d6 Poison	Claw: +6, 2d6+4 Slashing	Poison Breath: 30ft, 12d6 Poison (CON Save)	Dimension Door: Teleport",88,19,12,17,16,13,15,18,80
16,Aboleth,Large Aberration Lawful Evil,10,,,"Backstabber,Legendary,Dead",,"Tentacle: +6, 10ft, 1d8+4 Bludgeoning, Aboleth Plague (CON Save), Sneak Attack	Enslave: 30ft, Charmed (WIS Save)	Tail: +6, 10ft, 2d6+4 Bludgeoning, Sneak Attack	Multiattack: 10ft, 3 Tentacle",67,21,9,15,18,15,18,17,10
17,Fire Giant,Huge Giant Lawful Evil,9,Fire,,"Flying,Dead",,"Greatsword: +10, 10ft, 6d6+7 Slashing	Rock: +10, 60ft, 4d10+7 Bludgeoning	Multiattack: 10ft, 2 Greatsword",85,25,9,23,10,14,13,18,90
18,Frost Giant,Huge Giant Neutral Evil,8,Cold,,"Evasive,Weakened,Dead",,"Greataxe: +8, 10ft, 3d12+6 Slashing	Rock: +8, 60ft, 4d10+6 Bludgeoning	Multiattack: 10ft, 2 Greataxe",74,23,9,21,9,10,12,15,40
19,Bone Devil,Large Fiend Lawful Evil,9,"Fire,Poison,Poisoned","Cold,Spell,MagicalAbility","Mirrored,Dead",Young Green Dragon,"Sting: +7, 10ft, 2d8+4 Piercing, 5d6 Poison, Poisoned (CON Save)	Claw: +7, 10ft, 1d8+4 Slashing	Multiattack: 10ft, 2 Claw, Sting",72,18,16,18,13,14,16,19,40
20,Treant,Huge Plant Chaotic Good,9,,"Bludgeoning,Piercing","Regenerator,Animate Trees,Dead",Stone Golem,"Slam: +9, 10ft, 3d6+6 Bludgeoning	Rock: +9, 60ft, 4d10+7 Bludgeoning	Multiattack: 10ft, 2 Slam, 2 Tree Slam	Tree Slam: +10, 10ft, 3d6+6 Bludgeoning",76,23,8,21,12,16,12,16,30
21,Young Black Dragon,Large Dragon Chaotic Evil,7,Acid,,"+2 STR,Dead",Fire Giant,"Multiattack: 10ft, Bite, 2 Claw	Bite: +7, 10ft, 2d10+5 Piercing, 1d8 Acid	Claw: +7, 2d6+5 Slashing	Acid Breath: 30ft, 11d8 Acid (DEX Save)",72,21,14,17,12,11,15,18,80
22,Hydra,Huge Monstrosity Unaligned,8,,"Blinded,Charmed,Deafened,Frightened,Stunned,Asleep","Parrier,Hydra,7 Heads,Dead",Clay Golem,"Bite: +7, 10ft, 1d10+5 Piercing	Multiattack: 7 Bite	Parry: +3 to AC vs 1 Attack, Reaction",100,20,12,20,2,10,7,15,30
23,Young Silver Dragon,Large Dragon Lawful Good,9,Cold,,"Legendary Resistor,Legendary Resistance,Dead","Young Bronze Dragon, Young Black Dragon","Multiattack: Bite, 2 Claw	Bite: +9, 10ft, 2d10+6 Piercing	Claw: +9, 2d6+6 Slashing	Breath Weapon: 30ft, 1x (Cold Breath, Paralyzing Breath)	Cold Breath: 30ft, 12d8 Cold (CON Save)	Paralyzing Breath: 30ft, Paralyzed (CON Save)",83,23,10,21,14,11,19,18,80
